kindnr	leeftijd	groep	sekse	item1	item2	item3	item4	item5	item6	item7	item8
148	11	8	2	3	2	3	2	2	2	1	3
158	11	8	2	4	4	1	4	4	4	1	1
11	12	8	2	2	1	2	1	2	2	4	3
78	12	8	2	2	3	3	3	1	2	4	3
152	12	8	2	2	1	2	1	2	4	4	3
164	12	8	2	4	1	1	1	4	1	4	1
183	12	8	2	1	1	4	1	1	1	4	1
185	12	8	2	3	2	1	3	2	2	1	2
190	12	8	2	3	3	3	3	3	3	4	3
192	12	8	2	2	1	1	2	1	1	4	4
200	12	8	2	1	3	3	1	3	1	4	2
203	12	8	2	1	3	1	1	1	1	4	1
204	12	8	2	3	2	3	2	3	2	2	2
205	12	8	2	1	1	1	1	1	1	4	4
207	12	8	2	3	3	2	1	1	2	4	4
135	13	8	2	3	2	3	3	2	2	1	3
175	13	8	2	2	1	1	1	1	1	4	2
178	13	8	2	3	4	3	3	2	3	1	2
179	13	8	2	2	2	3	1	1	1	3	3
195	13	8	2	1	1	1	1	1	1	4	4
198	13	8	2	1	3	3	1	1	1	1	1
38	NA	NA	NA	1	3	4	3	1	2	4	3
